T5	T10	T15	T20	T25	T30	T35	T40
131.348070798	182.291095298	253.580213918	236.611408208	259.538514515	162.4209351	136.894506979	100.842661659
210.090317369	201.260367132	156.364000161	102.660537869	97.8684439419	74.654591587	74.2279508793	209.861760486
253.36970369	279.756469893	253.781565058	240.830725651	165.157545666	135.878576624	118.031127328	199.8365095
169.874207215	167.481253306	107.665908598	75.5453922824	110.461978289	94.9034696975	111.525515454	261.870108646
263.493860917	238.279608143	237.504535922	139.276866693	138.570475242	121.813299797	110.236326314	176.882407236
258.70563292	257.826987503	159.940598405	103.313846332	148.57314577	128.437561394	125.426377674	202.289392254
242.023144032	234.252468277	164.307796118	112.691975096	137.247657284	126.655178982	93.5311654049	230.753092364
246.19152309	222.313415479	143.71464529	106.233563069	129.957287231	100.22972985	77.1664279602	171.16932208
191.34381367	212.270659961	151.913426626	109.60842182	86.2876895932	49.8300375904	57.9241071468	145.5362809
238.707336323	250.395125011	203.909390955	210.169724125	166.155171337	130.936206485	78.6202992177	131.247390184
231.495138693	208.69616689	181.055502258	181.330077203	243.732081471	281.239183055	328.16424366	329.866609919
213.703064898	207.061023685	135.146439093	75.309188143	90.3396311698	79.3120726304	63.8205141712	153.777513792
271.519128979	279.915919706	208.084326258	156.228351569	165.062564682	137.247657056	129.314019785	236.748348068
225.829451966	214.075883769	183.4557738	101.494729625	105.742889404	97.6684418548	72.5817310964	180.659639235
296.697815453	341.087627436	297.4940917	329.738479742	290.46493689	214.745994824	162.805343551	266.009361062
323.538065209	277.840310151	276.545197589	160.027921329	186.479100257	165.774451202	227.030713543	259.142652116
214.23285966	215.115847142	170.328661253	142.24959888	130.142831871	56.2169942513	68.5494135026	167.336308651
210.573360525	245.294465648	292.95627358	365.528194729	300.402815455	329.580711859	291.21972788	188.842006821
240.634243423	198.407727907	177.745771339	95.2647496505	118.879811074	99.1499019046	69.1478848903	169.926411636
180.600772995	182.729758503	90.7516917496	43.1978060496	72.6504093966	55.6577678379	39.7443355588	140.876059663
274.486737473	248.301442272	164.230604927	135.866775105	157.26615817	135.343583809	137.702232241	251.166130498
270.195694873	274.125492389	287.916091129	303.966119687	247.205983991	174.428088352	136.832768096	205.325813519
271.462593744	284.43818414	249.893091619	217.526741039	201.242695047	140.060527852	117.078884249	210.409532254
249.802403	221.498608379	166.134679638	107.485791188	112.546166978	105.195759731	137.633618361	226.378868175
265.030038181	228.044629679	182.88600937	132.464678207	142.230436491	126.240954124	108.787064469	237.361916868
271.427661768	312.559164265	235.83344192	184.533465392	192.194142514	138.001964236	161.295172826	245.965299978
241.141912576	193.814139961	153.661958323	118.891465616	116.813839855	115.349435281	144.710775286	266.43952819
205.666675235	170.868727204	150.129075889	120.840955235	187.096178349	229.536494415	272.288001144	291.91103765
191.559652864	190.715906486	137.02033799	88.4264858987	78.438894807	44.9637841424	42.5600910873	120.71446744
211.048371462	274.896472649	224.749715024	192.084312029	214.938195427	117.628417009	98.2433411387	225.216495783
235.230996894	223.788592118	142.796054197	89.8043218082	115.30361618	85.1321420613	128.948967454	194.504750449
176.225070103	229.999126736	201.478567219	160.605966472	100.013269438	77.7521264056	70.5900990328	168.258544593
280.269014295	256.005633873	223.14802244	273.422911881	227.879888138	161.807714782	108.713844248	194.518887206
265.416813473	222.601636928	193.306008648	174.017594482	135.970561021	105.997976454	95.8632190073	203.224922784
486.536986646	534.787457144	581.919476845	629.865797084	589.670155477	569.950061826	471.192596216	481.925827136
237.759620612	222.768422518	184.85874434	148.852398111	164.814882896	99.6600749613	61.652284581	157.172118702
311.007201285	273.414626691	204.490604473	158.758538204	208.15294153	186.547715913	170.337363477	293.450279764
175.337697347	144.598066126	111.362553626	102.974338603	222.09041773	230.109827294	215.880737785	260.78941921
164.805257641	190.304401278	243.892914298	270.901596117	262.642029025	178.588348065	128.747943206	120.376882649
165.917203353	213.080230867	211.551761704	244.272081926	275.39071092	305.282895107	322.800853192	323.395768057
106.410037363	165.992203637	176.745052859	197.59341255	229.714609599	140.051936856	73.5530196265	68.6180912814
253.928142301	226.918474376	188.351457664	138.776506932	169.063043608	84.7866092654	110.295191484	208.326641275
199.398638279	145.487224991	128.494585545	104.899144399	131.369207204	138.070115727	196.55344572	285.362561013
274.864798786	256.547676032	225.907942244	185.633811786	192.992059612	122.088005779	111.335156612	214.330969063
288.195109323	249.543939168	176.744657811	142.450098921	186.061940673	142.715523393	122.625700957	227.953105952
311.387642368	343.156097105	306.381201059	325.436789135	257.680548956	206.984640339	184.277196385	240.235815163
241.019652505	218.779729495	160.902765862	130.617710425	148.166060394	113.961356541	94.2173173653	243.181026435
292.223777243	281.45118777	214.577048056	167.53271494	164.762371711	151.691167627	141.810571994	222.853761973
400.057427835	429.967916501	391.124548022	348.79406513	400.881153081	359.118122997	472.563826593	522.591601993
205.940102343	227.382368604	203.624336051	160.842728069	125.57448765	69.1470193923	86.0092183719	173.922508864
211.711436045	159.036208009	145.094786445	111.776651725	116.623282782	186.359826067	213.467602682	285.176151907
246.065976341	215.990738837	237.270388354	297.878495696	335.742547208	380.333704084	334.406272146	327.926277878
200.083627842	211.991081596	192.395497264	117.857230218	103.359608695	97.8589338776	85.6219913047	222.928361214
164.010382124	230.303265359	261.03129896	265.122484276	240.673487711	189.234446793	123.490977774	125.119603054
165.19395076	236.062101332	262.483380046	259.832108524	312.179464926	293.788180815	244.503498418	146.916944514
300.734085749	357.919141219	313.886283362	362.568626967	475.282132834	415.461147155	326.443563986	350.688638879
230.598188567	150.82467083	124.108412954	82.3819932106	71.2982702575	63.7474256426	77.5219956212	154.430771616
254.596142404	219.413788891	167.683643828	131.183323444	93.5023269653	115.038246974	110.315538573	189.091427899
229.018024801	264.877205499	198.682434741	173.144416754	187.694120997	124.050203831	84.8552849859	210.808818021
202.018171132	179.717783537	207.335728048	211.407295831	240.565569212	265.367755368	347.260124701	303.787609073
243.009492502	264.554676656	214.01954814	234.12381586	239.45007305	135.223509111	102.656993506	229.792479317
265.89755238	276.150045162	190.254791699	182.837680295	155.229545209	185.87908738	171.358815914	308.310478265
224.694803584	240.327333796	192.889736099	150.852128611	229.216154777	173.760929236	177.69651948	334.754067543
171.810119958	178.599329887	174.027407639	179.001580767	206.76669092	236.199674757	333.406996583	262.70897724
320.265602265	302.363235576	180.689401409	183.74634977	207.561253285	231.879544252	267.428000021	310.02391083
242.341358761	230.901737899	191.824547747	187.389978971	165.177888719	111.678541664	72.6307875544	154.375986936
227.794059226	253.061625811	219.139958412	238.197847282	236.851270184	141.76768772	88.0590988735	214.088165139
192.452451967	205.157690913	291.808384847	264.082519531	181.287542659	161.292736355	148.067519263	123.912852116
312.010011353	310.664588723	281.623584568	278.539180884	253.772415212	221.912429707	138.001964159	278.594099826
272.91037018	230.762935152	222.571414615	198.253120883	224.887004775	280.003587352	343.339149117	350.624567429
230.558356415	238.672046469	224.534404288	279.946899195	327.697003371	364.694259534	348.339332087	241.782129301
204.778882071	143.941962069	140.518913218	148.747043482	159.32737947	247.301569535	298.272054327	172.259914321
213.889473895	269.763080405	179.305722243	168.709848527	159.654300443	107.136051754	91.5169486725	191.118157915
269.889514755	340.125807612	269.769439913	251.106091241	247.743942165	180.792611776	160.439613402	278.895269298
273.834776296	263.162919576	392.479124645	341.362197671	309.721878666	332.08152433	293.174091723	204.833795381
231.396359906	203.13545323	174.188394894	126.260638783	155.790928439	172.224283134	141.373150352	301.735571136
140.365888033	213.909095819	211.946898755	234.629915855	262.081076972	179.384210381	117.094210673	108.009231019
148.057707203	245.981229494	220.55113802	247.963052763	236.935500111	205.393153129	121.705378251	111.335157106
269.224463811	194.031816432	179.413228757	115.303575405	151.467623877	119.813258095	137.52007661	242.974502563
176.695998652	250.092041565	205.677669498	159.889766007	263.748945222	190.529502375	219.050060409	334.947325233
336.804239465	335.129322129	256.481566461	247.493772776	226.186666501	218.159890194	187.361601196	311.973399117
152.655177123	219.175824722	260.151734935	258.12902361	231.998528295	173.989743943	159.528732607	102.005032943
226.620953035	182.949372421	110.905795803	75.5376272935	95.606218259	97.9382737741	95.452899662	189.953611769
236.817768783	174.871153358	130.231129763	82.9127085844	98.4336998205	96.4715015219	87.474819842	185.624000385
237.278882692	237.445668721	207.394593822	215.31206968	291.680843545	292.828732113	377.262139629	297.891200553
248.934343297	250.749379549	217.941413934	146.193617238	163.794539966	141.857159073	183.082952815	297.25348603
234.690350933	251.910441946	200.435756164	165.688931256	140.423649669	120.524517262	90.5144281782	203.324602522
459.191977277	496.964496894	454.817059101	343.860841892	481.633998999	437.564526449	480.004846458	537.912945639
263.935354658	265.151916614	196.386662216	144.50612591	150.118016195	141.160578995	117.516082215	166.796702762
238.240726975	290.911516873	254.528276455	282.051570676	198.872732102	158.424039829	137.136157486	253.953625517
315.374395137	288.816036087	392.900864855	415.044272663	334.8688349	346.180915229	364.547092136	239.849364137
193.355062471	138.953104582	112.326067369	83.854563816	73.2292576248	66.8521115145	95.9417081051	218.235741485
174.007783574	254.919048666	165.894093685	99.2382015805	101.681139665	97.4722226369	94.2149726264	156.82873387
204.778880177	241.874116731	166.219239305	125.527055113	149.332807298	105.144353572	135.951795949	260.316480701
225.985312647	219.560229308	141.324336007	100.56808592	109.29045338	104.695878791	87.8460573286	189.457533971
201.493118593	178.913809757	106.645370535	71.8016594624	107.945030366	121.307736032	90.0975825675	225.381238694
308.761781981	294.535841798	209.925832844	187.144709196	169.318128078	189.008793893	169.327940248	259.000426587
354.367956405	332.621530469	296.771041614	251.411062049	251.438520291	207.588711015	206.52701456	316.513063316
200.587020413	193.859900763	114.397569823	87.5257186122	98.8291027402	79.8009775149	42.1565892136	150.989414087
237.71886567	169.990083963	140.967387065	85.2924995678	108.356895741	92.3948687099	68.7172539474	165.294834124
255.53885666	214.270062031	151.117551458	115.742993195	173.037880353	120.410788312	115.660620107	234.46056197
208.972487483	186.584050365	122.351768666	92.157869224	121.47459795	102.471492441	72.1885030833	218.840673648
235.61101285	216.224491641	143.426917975	107.106619416	101.259266037	87.572930535	100.297789759	157.015144238
265.8840999	275.627465014	265.94413671	246.508868907	145.318526646	133.997009037	191.56520666	234.201007771
246.268717976	170.766208001	152.343012876	91.4641309114	125.943296085	103.171609711	70.5193254603	168.819250911
244.373219472	211.111974416	190.553130144	228.360135732	274.65827678	275.035657487	324.970411121	354.217662547
191.618519351	206.325199374	142.720526387	99.3068788378	89.4173977529	78.3505963662	79.3513176458	197.495304245
273.915689954	228.775482494	188.250966811	142.626596665	135.678844655	134.742795053	121.113583401	222.029465173
257.350078847	216.532583657	194.884468414	98.1369637543	121.002996337	134.889008552	123.807645978	194.37843054
255.233002093	192.050203612	161.076895131	121.891787248	128.023655953	105.173854965	108.597890017	220.668871818
142.724674916	169.733812063	232.556831923	252.243945026	256.463260062	178.309740719	121.893498312	122.836208318
297.292731584	258.664526087	219.237452761	172.128312105	179.665128809	182.917097509	145.967327186	280.104917538
333.976164296	276.733887127	251.131821638	180.449534386	221.884568652	198.924191889	187.422562137	296.57226944
198.662809221	187.870720294	103.868991399	69.8150310791	82.3338592584	77.5460948395	101.48492127	190.215548344
147.737213974	168.133098218	188.84632792	255.831965033	309.403325399	271.793586755	193.306317503	205.579868677
216.060850875	173.081973934	112.348897478	82.1410325068	128.096098846	112.571897111	93.0937437981	227.545329664
139.768402765	199.323968465	224.118194068	239.595131586	221.436500703	156.297889505	97.2731715977	106.27926943
189.842730186	213.997395467	235.463849404	292.357804442	283.380743013	313.382762113	253.633807395	149.24483748
160.742392546	181.182176263	273.41538532	235.610258249	264.280831557	236.118631216	195.868479035	110.671782996
396.727153092	463.216260732	414.897114267	346.897116352	447.165469821	393.6268821	427.808386604	533.021485253
230.147276433	261.819662557	237.2322099	207.569104618	191.575559537	123.356875448	106.782334322	160.863434109
118.122653987	171.134150614	166.576187339	219.120909467	205.309727099	139.557895942	70.5294563498	74.6664027272
168.739283335	237.092474244	238.112815473	255.537144064	266.142828193	194.924824282	148.008654039	113.003025302
224.237172632	209.840234385	128.126376773	121.71960142	96.8979187524	95.5524937162	94.0972409856	198.31718752
167.130277565	217.146723466	244.990323513	263.670453627	223.406137041	194.139943843	110.157837353	124.128692023
139.973447951	211.436726412	207.178756494	243.391134468	270.744184316	196.357229219	121.59745602	125.953538689
192.800280613	166.940908396	93.1280509901	71.5914386293	94.3030879662	58.6403099396	50.7238251188	166.692177299
296.134850292	373.7043904	378.498884621	370.35082324	368.37813189	339.053691648	273.697666192	231.808051943
239.124152489	221.618685836	179.506075661	113.772664004	154.615893694	103.686223972	102.06518779	209.773979475
234.067003033	221.454804184	212.512773603	144.518569844	142.614844226	111.844010782	93.3558863697	216.695483829
222.721947526	213.495828724	223.80378672	206.479103557	187.40214871	96.7789849649	87.4081167296	195.355959333
175.023983079	183.544991743	124.575191165	74.6023357827	131.521968714	83.9196189266	65.4772559556	213.711757071
254.5295697	218.973599269	159.799985875	110.294369511	182.617671562	117.676785965	101.129202773	191.683795609
286.228525222	321.711185359	239.072691959	176.478428283	266.887596814	203.52999051	172.841818343	283.629719836
159.659113854	239.484383157	257.212849887	276.742462206	291.674857182	233.96943036	203.787298047	135.549430991
212.91104618	191.591699137	183.554580147	188.928795673	221.28707967	276.602800448	337.300802197	275.545705852
176.637130628	192.060014903	142.838258318	92.6452131752	87.3570877734	74.9363707124	93.9010215595	217.127100773
91.0308702006	143.086552592	194.988912684	185.023208302	210.417602404	133.895507948	64.2727492293	85.4549164292
205.177310751	232.3145191	242.930013753	243.459809886	209.199819551	143.250319447	101.955846279	133.812144108
